"","given","class","query","NCTId"
"1",TRUE,"clinical",NA,NA
"2",TRUE,"clinical",NA,NA
"3",TRUE,"clinical",NA,NA
"4",TRUE,"clinical",NA,NA
"5",TRUE,"clinical",NA,NA
"6",FALSE,"clinical",NA,NA
"7",FALSE,"clinical",NA,NA
"8",TRUE,"clinical",NA,NA
"9",TRUE,"clinical",NA,NA
"10",TRUE,"clinical",NA,NA
"11",FALSE,"clinical",NA,NA
"12",TRUE,"clinical",NA,NA
"13",TRUE,"clinical",NA,NA
"14",FALSE,"clinical",NA,NA
"15",FALSE,"clinical",NA,NA
"16",FALSE,"clinical",NA,NA
"17",FALSE,"clinical",NA,NA
"18",FALSE,"clinical",NA,NA
"19",TRUE,"clinical",NA,NA
"20",TRUE,"clinical",NA,NA
"21",TRUE,"clinical",NA,NA
"22",TRUE,"clinical",NA,NA
"23",TRUE,"clinical",NA,NA
"24",TRUE,"clinical",NA,NA
"25",TRUE,"clinical",NA,NA
"26",TRUE,"clinical",NA,NA
"27",TRUE,"clinical",NA,NA
"28",TRUE,"clinical",NA,NA
"29",TRUE,"clinical",NA,NA
"30",TRUE,"clinical",NA,NA
"31",TRUE,"clinical",NA,NA
"32",FALSE,"clinical",NA,NA
"33",TRUE,"clinical",NA,NA
"34",TRUE,"clinical",NA,NA
"35",FALSE,"clinical",NA,NA
"36",TRUE,"clinical",NA,NA
"37",FALSE,"clinical",NA,NA
"38",FALSE,"clinical",NA,NA
"39",FALSE,"clinical",NA,NA
"40",FALSE,"clinical",NA,NA
"41",FALSE,"clinical",NA,NA
"42",FALSE,"clinical",NA,NA
"43",FALSE,"clinical",NA,NA
"44",FALSE,"clinical",NA,NA
"45",FALSE,"clinical",NA,NA
"46",FALSE,"clinical",NA,NA
"47",FALSE,"clinical",NA,NA
"48",TRUE,"clinical",NA,NA
"49",TRUE,"clinical",NA,NA
"50",TRUE,"clinical",NA,NA
"51",TRUE,"clinical",NA,NA
"52",TRUE,"clinical",NA,NA
"53",TRUE,"clinical",NA,NA
"54",TRUE,"clinical",NA,NA
"55",TRUE,"clinical",NA,NA
"56",TRUE,"clinical",NA,NA
"57",FALSE,"clinical",NA,NA
"58",FALSE,"clinical",NA,NA
"59",FALSE,"clinical",NA,NA
"60",TRUE,"clinical",NA,NA
"61",TRUE,"clinical",NA,NA
"62",FALSE,"clinical",NA,NA
"63",FALSE,"clinical",NA,NA
"64",FALSE,"clinical",NA,NA
"65",FALSE,"clinical",NA,NA
"66",TRUE,"clinical",NA,NA
"67",FALSE,"clinical",NA,NA
"68",FALSE,"clinical",NA,NA
"69",FALSE,"clinical",NA,NA
"70",FALSE,"clinical",NA,NA
"71",FALSE,"clinical",NA,NA
"72",FALSE,"clinical",NA,NA
"73",FALSE,"clinical",NA,NA
"74",TRUE,"clinical",NA,NA
"75",TRUE,"clinical",NA,NA
"76",TRUE,"clinical",NA,NA
"77",TRUE,"clinical",NA,NA
"78",FALSE,"clinical",NA,NA
"79",TRUE,"clinical",NA,NA
"80",TRUE,"clinical",NA,NA
"81",TRUE,"clinical",NA,NA
"82",FALSE,"clinical",NA,NA
"83",FALSE,"clinical",NA,NA
"84",TRUE,"clinical",NA,NA
"85",FALSE,"clinical",NA,NA
"86",FALSE,"clinical",NA,NA
"87",TRUE,"clinical",NA,NA
"88",TRUE,"clinical",NA,NA
"89",TRUE,"clinical",NA,NA
"90",TRUE,"clinical",NA,NA
"91",FALSE,"clinical",NA,NA
"92",TRUE,"clinical",NA,NA
"93",TRUE,"clinical",NA,NA
"94",FALSE,"clinical",NA,NA
"95",FALSE,"clinical",NA,NA
"96",TRUE,"clinical",NA,NA
"97",TRUE,"clinical",NA,NA
"98",FALSE,"clinical",NA,NA
"99",FALSE,"clinical",NA,NA
"100",TRUE,"clinical",NA,NA
"101",TRUE,"clinical",NA,NA
"102",TRUE,"clinical",NA,NA
"103",TRUE,"clinical",NA,NA
"104",TRUE,"clinical",NA,NA
"105",TRUE,"clinical",NA,NA
"106",TRUE,"clinical",NA,NA
"107",TRUE,"clinical",NA,NA
"108",TRUE,"clinical",NA,NA
"109",TRUE,"clinical",NA,NA
"110",TRUE,"clinical",NA,NA
"111",FALSE,"clinical",NA,NA
"112",TRUE,"clinical",NA,NA
"113",TRUE,"clinical",NA,NA
"114",TRUE,"clinical",NA,NA
"115",TRUE,"clinical",NA,NA
"116",TRUE,"clinical",NA,NA
"117",TRUE,"clinical",NA,NA
"118",TRUE,"clinical",NA,NA
"119",TRUE,"clinical",NA,NA
"120",TRUE,"clinical",NA,NA
"121",TRUE,"clinical",NA,NA
"122",TRUE,"clinical",NA,NA
