"","patient","name","TN","FN","FP","TP","classification","value","model"
"1","1","BioMed LM",30,4,19,0,"precision",0,"BioMed LM"
"2","1","BioMed LM",30,4,19,0,"recall",0,"BioMed LM"
"3","1","BioMed LM",30,4,19,0,"f1",NA,"BioMed LM"
"4","1","ChatGPT",45,4,4,0,"precision",0,"ChatGPT"
"5","1","ChatGPT",45,4,4,0,"recall",0,"ChatGPT"
"6","1","ChatGPT",45,4,4,0,"f1",NA,"ChatGPT"
"7","1","ChatGPT 4",45,4,4,0,"precision",0,NA
"8","1","ChatGPT 4",45,4,4,0,"recall",0,NA
"9","1","ChatGPT 4",45,4,4,0,"f1",NA,NA
"10","1","Galactica",46,4,3,0,"precision",0,"Galactica"
"11","1","Galactica",46,4,3,0,"recall",0,"Galactica"
"12","1","Galactica",46,4,3,0,"f1",NA,"Galactica"
"13","1","Perplexity.ai",32,4,17,0,"precision",0,"Perplexity.ai"
"14","1","Perplexity.ai",32,4,17,0,"recall",0,"Perplexity.ai"
"15","1","Perplexity.ai",32,4,17,0,"f1",NA,"Perplexity.ai"
"16","1","clinical",0,4,14,0,"precision",0,"clinical"
"17","1","clinical",0,4,14,0,"recall",0,"clinical"
"18","1","clinical",0,4,14,0,"f1",NA,"clinical"
"19","1","combined",14,4,0,0,"precision",NA,"combined"
"20","1","combined",14,4,0,0,"recall",0,"combined"
"21","1","combined",14,4,0,0,"f1",NA,"combined"
"22","2","BioMed LM",37,2,24,1,"precision",0.04,"BioMed LM"
"23","2","BioMed LM",37,2,24,1,"recall",0.333333333333333,"BioMed LM"
"24","2","BioMed LM",37,2,24,1,"f1",0.0714285714285714,"BioMed LM"
"25","2","ChatGPT",52,2,9,1,"precision",0.1,"ChatGPT"
"26","2","ChatGPT",52,2,9,1,"recall",0.333333333333333,"ChatGPT"
"27","2","ChatGPT",52,2,9,1,"f1",0.153846153846154,"ChatGPT"
"28","2","ChatGPT 4",46,1,15,2,"precision",0.117647058823529,NA
"29","2","ChatGPT 4",46,1,15,2,"recall",0.666666666666667,NA
"30","2","ChatGPT 4",46,1,15,2,"f1",0.2,NA
"31","2","Galactica",58,3,3,0,"precision",0,"Galactica"
"32","2","Galactica",58,3,3,0,"recall",0,"Galactica"
"33","2","Galactica",58,3,3,0,"f1",NA,"Galactica"
"34","2","Perplexity.ai",57,3,4,0,"precision",0,"Perplexity.ai"
"35","2","Perplexity.ai",57,3,4,0,"recall",0,"Perplexity.ai"
"36","2","Perplexity.ai",57,3,4,0,"f1",NA,"Perplexity.ai"
"37","2","clinical",2,2,12,1,"precision",0.0769230769230769,"clinical"
"38","2","clinical",2,2,12,1,"recall",0.333333333333333,"clinical"
"39","2","clinical",2,2,12,1,"f1",0.125,"clinical"
"40","2","combined",8,2,6,1,"precision",0.142857142857143,"combined"
"41","2","combined",8,2,6,1,"recall",0.333333333333333,"combined"
"42","2","combined",8,2,6,1,"f1",0.2,"combined"
"43","3","BioMed LM",83,5,106,1,"precision",0.00934579439252336,"BioMed LM"
"44","3","BioMed LM",83,5,106,1,"recall",0.166666666666667,"BioMed LM"
"45","3","BioMed LM",83,5,106,1,"f1",0.0176991150442478,"BioMed LM"
"46","3","ChatGPT",173,5,16,1,"precision",0.0588235294117647,"ChatGPT"
"47","3","ChatGPT",173,5,16,1,"recall",0.166666666666667,"ChatGPT"
"48","3","ChatGPT",173,5,16,1,"f1",0.0869565217391304,"ChatGPT"
"49","3","ChatGPT 4",173,4,16,2,"precision",0.111111111111111,NA
"50","3","ChatGPT 4",173,4,16,2,"recall",0.333333333333333,NA
"51","3","ChatGPT 4",173,4,16,2,"f1",0.166666666666667,NA
"52","3","Galactica",184,6,5,0,"precision",0,"Galactica"
"53","3","Galactica",184,6,5,0,"recall",0,"Galactica"
"54","3","Galactica",184,6,5,0,"f1",NA,"Galactica"
"55","3","Perplexity.ai",149,6,40,0,"precision",0,"Perplexity.ai"
"56","3","Perplexity.ai",149,6,40,0,"recall",0,"Perplexity.ai"
"57","3","Perplexity.ai",149,6,40,0,"f1",NA,"Perplexity.ai"
"58","3","clinical",6,5,24,1,"precision",0.04,"clinical"
"59","3","clinical",6,5,24,1,"recall",0.166666666666667,"clinical"
"60","3","clinical",6,5,24,1,"f1",0.0645161290322581,"clinical"
"61","3","combined",23,5,7,1,"precision",0.125,"combined"
"62","3","combined",23,5,7,1,"recall",0.166666666666667,"combined"
"63","3","combined",23,5,7,1,"f1",0.142857142857143,"combined"
"64","4","BioMed LM",28,2,12,1,"precision",0.0769230769230769,"BioMed LM"
"65","4","BioMed LM",28,2,12,1,"recall",0.333333333333333,"BioMed LM"
"66","4","BioMed LM",28,2,12,1,"f1",0.125,"BioMed LM"
"67","4","ChatGPT",29,3,11,0,"precision",0,"ChatGPT"
"68","4","ChatGPT",29,3,11,0,"recall",0,"ChatGPT"
"69","4","ChatGPT",29,3,11,0,"f1",NA,"ChatGPT"
"70","4","ChatGPT 4",34,2,6,1,"precision",0.142857142857143,NA
"71","4","ChatGPT 4",34,2,6,1,"recall",0.333333333333333,NA
"72","4","ChatGPT 4",34,2,6,1,"f1",0.2,NA
"73","4","Galactica",38,3,2,0,"precision",0,"Galactica"
"74","4","Galactica",38,3,2,0,"recall",0,"Galactica"
"75","4","Galactica",38,3,2,0,"f1",NA,"Galactica"
"76","4","Perplexity.ai",31,2,9,1,"precision",0.1,"Perplexity.ai"
"77","4","Perplexity.ai",31,2,9,1,"recall",0.333333333333333,"Perplexity.ai"
"78","4","Perplexity.ai",31,2,9,1,"f1",0.153846153846154,"Perplexity.ai"
"79","4","clinical",1,3,12,0,"precision",0,"clinical"
"80","4","clinical",1,3,12,0,"recall",0,"clinical"
"81","4","clinical",1,3,12,0,"f1",NA,"clinical"
"82","4","combined",9,3,4,0,"precision",0,"combined"
"83","4","combined",9,3,4,0,"recall",0,"combined"
"84","4","combined",9,3,4,0,"f1",NA,"combined"
"85","5","BioMed LM",19,3,18,1,"precision",0.0526315789473684,"BioMed LM"
"86","5","BioMed LM",19,3,18,1,"recall",0.25,"BioMed LM"
"87","5","BioMed LM",19,3,18,1,"f1",0.0869565217391304,"BioMed LM"
"88","5","ChatGPT",30,3,7,1,"precision",0.125,"ChatGPT"
"89","5","ChatGPT",30,3,7,1,"recall",0.25,"ChatGPT"
"90","5","ChatGPT",30,3,7,1,"f1",0.166666666666667,"ChatGPT"
