"","name","TN","FN","FP","TP","classification","value","model"
"1","BioMed LM",298,35,242,6,"precision",0.0241935483870968,"BioMed LM"
"2","BioMed LM",298,35,242,6,"recall",0.146341463414634,"BioMed LM"
"3","BioMed LM",298,35,242,6,"f1",0.041522491349481,"BioMed LM"
"4","ChatGPT",466,30,74,11,"precision",0.129411764705882,"ChatGPT"
"5","ChatGPT",466,30,74,11,"recall",0.268292682926829,"ChatGPT"
"6","ChatGPT",466,30,74,11,"f1",0.174603174603175,"ChatGPT"
"7","ChatGPT 4",481,26,59,15,"precision",0.202702702702703,"ChatGPT 4"
"8","ChatGPT 4",481,26,59,15,"recall",0.365853658536585,"ChatGPT 4"
"9","ChatGPT 4",481,26,59,15,"f1",0.260869565217391,"ChatGPT 4"
"10","CiVIC",495,35,45,6,"precision",0.117647058823529,"CiVIC"
"11","CiVIC",495,35,45,6,"recall",0.146341463414634,"CiVIC"
"12","CiVIC",495,35,45,6,"f1",0.130434782608696,"CiVIC"
"13","Galactica",507,33,33,8,"precision",0.195121951219512,"Galactica"
"14","Galactica",507,33,33,8,"recall",0.195121951219512,"Galactica"
"15","Galactica",507,33,33,8,"f1",0.195121951219512,"Galactica"
"16","OncoKB",488,23,52,18,"precision",0.257142857142857,"OncoKB"
"17","OncoKB",488,23,52,18,"recall",0.439024390243902,"OncoKB"
"18","OncoKB",488,23,52,18,"f1",0.324324324324324,"OncoKB"
"19","Perplexity.ai",411,28,129,13,"precision",0.0915492957746479,"Perplexity.ai"
"20","Perplexity.ai",411,28,129,13,"recall",0.317073170731707,"Perplexity.ai"
"21","Perplexity.ai",411,28,129,13,"f1",0.14207650273224,"Perplexity.ai"
"22","clinical",13,27,116,14,"precision",0.107692307692308,"clinical"
"23","clinical",13,27,116,14,"recall",0.341463414634146,"clinical"
"24","clinical",13,27,116,14,"f1",0.16374269005848,"clinical"
"25","combined",99,29,30,12,"precision",0.285714285714286,"combined"
"26","combined",99,29,30,12,"recall",0.292682926829268,"combined"
"27","combined",99,29,30,12,"f1",0.289156626506024,"combined"
